Course,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte
46W27,2023,Summer,"14  (73  %  af de tilmeldte,  100  %  af de fremmødte)",19,"7,4 (Efter 7-trinsskalaen)",14
46W27,2024,Summer,"16  (94  %  af de tilmeldte,  100  %  af de fremmødte)",17,"7,7 (Efter 7-trinsskalaen)",16
46W31,2018,Winter,"10  (90  %  af de tilmeldte,  100  %  af de fremmødte)",11,Intet eksamensgennemsnit,10
46W31,2019,Winter,,5,,3
46W31,2020,Summer,,1,,1
46W31,2020,Winter,"4  (80  %  af de tilmeldte,  100  %  af de fremmødte)",5,Intet eksamensgennemsnit,4
46W31,2021,Winter,"13  (100  %  af de tilmeldte,  100  %  af de fremmødte)",13,Intet eksamensgennemsnit,13
46W31,2022,Winter,"14  (73  %  af de tilmeldte,  82  %  af de fremmødte)",19,Intet eksamensgennemsnit,17
46W31,2023,Winter,"10  (71  %  af de tilmeldte,  100  %  af de fremmødte)",14,Intet eksamensgennemsnit,10
46W34,2018,Winter,"12  (85  %  af de tilmeldte,  100  %  af de fremmødte)",14,"7,7 (Efter 7-trinsskalaen)",12
46W34,2019,Winter,"7  (77  %  af de tilmeldte,  100  %  af de fremmødte)",9,"7,9 (Efter 7-trinsskalaen)",7
46W34,2020,Winter,"4  (66  %  af de tilmeldte,  100  %  af de fremmødte)",6,"10,5 (Efter 7-trinsskalaen)",4
46W34,2021,Winter,"15  (93  %  af de tilmeldte,  100  %  af de fremmødte)",16,"9,7 (Efter 7-trinsskalaen)",15
46W34,2022,Winter,"25  (80  %  af de tilmeldte,  100  %  af de fremmødte)",31,"9,3 (Efter 7-trinsskalaen)",25
46W34,2023,Winter,"19  (100  %  af de tilmeldte,  100  %  af de fremmødte)",19,"9,8 (Efter 7-trinsskalaen)",19
46W37,2018,Winter,"11  (78  %  af de tilmeldte,  100  %  af de fremmødte)",14,"8,5 (Efter 7-trinsskalaen)",11
46W37,2019,Winter,"5  (71  %  af de tilmeldte,  100  %  af de fremmødte)",7,"8,6 (Efter 7-trinsskalaen)",5
46W37,2020,Winter,"6  (100  %  af de tilmeldte,  100  %  af de fremmødte)",6,"8,8 (Efter 7-trinsskalaen)",6
46W37,2021,Winter,"9  (75  %  af de tilmeldte,  100  %  af de fremmødte)",12,"8,6 (Efter 7-trinsskalaen)",9
46W37,2022,Winter,"15  (93  %  af de tilmeldte,  100  %  af de fremmødte)",16,"8,3 (Efter 7-trinsskalaen)",15
