Course code,Academic Year,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte,Engelsk titel,Undervisningssprog,Point( ECTS ),Kursustype,Evalueringsform,Hjælpemidler,Bedømmelsesform,Institut,Mulighed for GRØN DYST deltagelse,Ekstern samarbejdsinstitution,forudsætninger
42402,2023-2024,2023,Winter,191,200,"7,2",198,Sustainable Operations and Supply Chain Management (O&SCM),Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) I løbet af kurset stilles en gruppeopgave. I gruppeopgaven indgår en individuel rapport. Gruppeopgaven skal være godkendt, for at den studerende kan deltage i den skriftlige eksamen ved kursets afslutning. Den endelige karakter er baseret på en helhedsvurdering af den studerendes præstation i gruppeopgaven, den individuelle rapport og under den skriftlige eksamen. Eksamensvarighed Skriftlig eksamen: 2 timer",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Ja
42402,2023-2024,2024,Summer,5,5,8,5,Sustainable Operations and Supply Chain Management (O&SCM),Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) I løbet af kurset stilles en gruppeopgave. I gruppeopgaven indgår en individuel rapport. Gruppeopgaven skal være godkendt, for at den studerende kan deltage i den skriftlige eksamen ved kursets afslutning. Den endelige karakter er baseret på en helhedsvurdering af den studerendes præstation i gruppeopgaven, den individuelle rapport og under den skriftlige eksamen. Eksamensvarighed Skriftlig eksamen: 2 timer",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Ja
42404,2023-2024,2024,Summer,47,47,"8,3",47,Maritime Logistics and Management,Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af opgave(r) Written examination, group assignment, group presentation During the course, a group assignment is given. The group assignment includes a group written report and a group presentation. The final grade is based on an overall assessment of the student's performance in the group assignment, the group presentation and during the written examination. Eksamensvarighed Skriftlig eksamen: 2 timer",Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42406,2017-2018,2017,Winter,47,47,"9,9",47,Introduction to Production,Dansk,5,Bachelor,Mundtlig eksamen og bedømmelse af rapport(er),Tilladt,ekstern censur,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42406,2018-2019,2018,Winter,48,50,"9,4",48,Introduction to Production,Dansk,5,Bachelor,Mundtlig eksamen og bedømmelse af rapport(er),Tilladt,ekstern censur,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42406,2019-2020,2019,Winter,63,64,"9,8",63,Introduction to Production,Dansk,5,Bachelor,Mundtlig eksamen og bedømmelse af rapport(er),Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42406,2020-2021,2020,Winter,78,80,"9,3",78,Introduction to Production,Dansk,5,Bachelor,Mundtlig eksamen og bedømmelse af rapport(er) Første del af øvelsen afleveres i slutningen af oktober og evalueres særskilt. Anden del af øvelsen afleveres ved kursets afslutning. Den endelige karakter er en helhedsvurdering af eksamen og de to øvelsesrapporter.,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42406,2021-2022,2021,Winter,59,59,"9,7",59,Introduction to Production,Dansk,5,Bachelor,"Mundtlig eksamen og bedømmelse af rapport(er) Der afleveres 2 øvelses rapporter i kurset. Første rapport afleveres i slutningen af oktober. Den anden rapport afleveres ved kursets afslutning. Den endelige karakter er en helhedsvurdering af eksamen og de to øvelsesrapporter. Rapporterne aflevers gruppevis (ca 4 personer i hver gruppe), hvor det angives hvem der har udført de enkelte dele af rapporten",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42415,2017-2018,2017,Winter,40,45,"6,3",44,Engineering Economy,Dansk,5,Bachelor,Skriftlig eksamen Skriftlig eksamen (vægt 75%) og to projektopgaver (vægt 10% og 15%),Tilladt,intern bedømmelse,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42415,2017-2018,2018,Summer,112,129,"5,8",126,Engineering Economy,Dansk,5,Bachelor,Skriftlig eksamen Skriftlig eksamen (vægt 75%) og to projektopgaver (vægt 10% og 15%),Tilladt,intern bedømmelse,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42415,2018-2019,2018,Winter,39,45,"6,2",41,Engineering Economy,Dansk,5,Bachelor,Skriftlig eksamen Skriftlig eksamen (vægt 75%) og to projektopgaver (vægt 10% og 15%),Tilladt,intern bedømmelse,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42415,2018-2019,2019,Summer,64,80,"5,5",71,Engineering Economy,Dansk,5,Bachelor,Skriftlig eksamen Skriftlig eksamen (vægt 75%) og to projektopgaver (vægt 10% og 15%),Tilladt,intern bedømmelse,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42415,2019-2020,2020,Summer,118,133,"7,2",124,Engineering Economy,Dansk,5,Bachelor,Skriftlig eksamen Skriftlig eksamen (vægt 75%) og to projektopgaver (vægt 10% og 15%),Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42415,2020-2021,2021,Summer,120,149,"5,9",135,Engineering Economy,Dansk,5,Bachelor,Skriftlig eksamen Skriftlig eksamen (vægt 75%) og to projektopgaver (vægt 10% og 15%),Tilladt,intern bedømmelse,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42417,2017-2018,2018,Summer,93,98,"9,7",94,Simulation in Operations Management,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er),Ikke tilladt,ekstern censur,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Ja
42417,2018-2019,2019,Summer,110,116,"8,5",114,Simulation in Operations Management,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er) Den skriftlige eksamen afholdes efter kursets første undervisningsuge.,Ikke tilladt,intern bedømmelse,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Ja
42417,2019-2020,2020,Summer,157,165,"9,1",160,Simulation in Operations Management,Engelsk,5,Kandidat,Skriftlig eksamen og bedømmelse af rapport(er) Som følge af COVID-19: Den skriftlige eksamen afholdes som hjemmeeksamen. Den skriftlige eksamen afholdes efter kursets første undervisningsuge.,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Ja
42417,2020-2021,2021,Summer,152,156,"9,2",152,Simulation in Operations Management,Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) Den skriftlige eksamen afholdes efter kursets første undervisningsuge. Case-studiet gennemføres i grupper af to studerende, der dog afleverer individuelle rapporter. Den endelige karakter baseres på en helhedsvurdering af præstationerne ved den skriftlige eksamen og case-studiet.",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Ja
42417,2022-2023,2023,Summer,166,179,"8,1",174,Simulation in Operations Management,Engelsk,5,Kandidat,"Skriftlig eksamen og bedømmelse af rapport(er) Den skriftlige eksamen afholdes efter kursets første undervisningsuge (ingen adgang til internet). Et case-studie gennemføres i grupper af to studerende, der dog afleverer individuelle rapporter. Evalueringen baseres på en helhedsvurdering af præstationerne ved den skriftlige eksamen og case-studiet. Det kræves endvidere, at den studerende består såvel den skriftlige eksamen som case-studiet. Eksamensvarighed Skriftlig eksamen: 2 timer",Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Ja
42421,2017-2018,2017,Winter,89,90,"6,9",89,Management and Organization,Dansk,5,Bachelor,"Skriftlig eksamen og bedømmelse af opgave(r) Multiple choice test i den 9. uge af semesteret (tæller 1/3 af den samlede karakter), samt projektopgave (tæller 2/3 af den samlede karakter) som afleveres ved semesterets afslutning (inden afslutningen af 13 ugers perioden).",Ikke tilladt,ekstern censur,Institut42 DTU Management Engineering,Ikke oplyst,Ja,Nej
42421,2018-2019,2018,Winter,64,66,"6,8",65,Management and Organization,Dansk,5,Bachelor,"Skriftlig eksamen og bedømmelse af opgave(r) Multiple choice test i den 9. uge af semesteret (tæller 1/3 af den samlede karakter), samt projektopgave (tæller 2/3 af den samlede karakter) som afleveres ved semesterets afslutning (inden afslutningen af 13 ugers perioden).",Ikke tilladt,ekstern censur,"Institut42 Institutfor Systemer, Produktion og Ledelse",Ikke oplyst,Ja,Nej
42421,2019-2020,2019,Winter,76,76,"7,6",76,Management and Organization,Dansk,5,Bachelor,"Skriftlig eksamen og bedømmelse af opgave(r) Multiple choice test i den 9. uge af semesteret (tæller 1/3 af den samlede karakter), samt individualiseret gruppeprojektopgave (tæller 2/3 af den samlede karakter) som afleveres ved semesterets afslutning (inden afslutningen af 13 ugers periode).",Ikke tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42421,2020-2021,2020,Winter,107,107,"8,3",107,Management and Organization,Dansk,5,Bachelor,Skriftlig eksamen og bedømmelse af opgave(r) Individualiseret gruppeprojektopgave (100%) som afleveres ved semesterets afslutning (inden afslutningen af 13 ugers periode).,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
42421,2021-2022,2021,Winter,133,133,"9,5",133,Management and Organization,Dansk,5,Bachelor,Mundtlig eksamen og bedømmelse af rapport(er) Individualiseret gruppeprojektopgave (100%) som afleveres ved semesterets afslutning (inden afslutningen af 13 ugers periode). Gruppeprojektopgaven præsenteres og eksamineres ved mundtlig eksamen for projektgruppen. Hvert medlem af gruppen præsentere sit bidrag til rapporten. Eksamensvarighed Der afleveres en rapport med individuelle bidrag. Mundtlig gruppeeksamen er 30 minutter.,Tilladt,ekstern censur,"Institut42 Institutfor Teknologi, Ledelse og Økonomi",Ikke oplyst,Ja,Nej
